iter	CatBoostEvalMetricCustom	Logloss
200	0.782472163	0.2578750829
201	0.7826896963	0.2577819358
202	0.7827826933	0.2576808209
203	0.7828997327	0.2576027974
204	0.7831463614	0.2575185055
205	0.7830728362	0.2574275663
206	0.7833258396	0.2573316901
207	0.7835422388	0.2572523336
208	0.7832108667	0.2571619956
209	0.7832681059	0.2570623884
210	0.7834524854	0.2569869609
211	0.7837038383	0.2569014596
212	0.7837943484	0.2568058848
213	0.7839826425	0.2566924972
214	0.7838428647	0.2566024483
215	0.784101965	0.2565067188
216	0.7841188843	0.2564420562
217	0.7843975622	0.2563753465
218	0.7845861581	0.2562773637
219	0.7846360591	0.2562068444
220	0.784426278	0.2561388255
221	0.7844816071	0.2560559921
222	0.7843369288	0.2559841312
223	0.784490231	0.2558986894
224	0.7847464366	0.2558010882
225	0.7848999519	0.2557135667
226	0.7852769753	0.2556487844
227	0.7853011058	0.2555666517
228	0.785315737	0.2554845868
229	0.7851758098	0.2554115432
230	0.7853257124	0.2553455685
231	0.7853060924	0.2552841031
232	0.7852019399	0.2551950704
233	0.7852526901	0.2551420045
234	0.7853064209	0.2550747494
235	0.7854959	0.2549913067
236	0.7856515721	0.2549122525
237	0.7858630284	0.2548465833
238	0.7856532246	0.2547861187
239	0.7855347908	0.2547438121
240	0.7856182137	0.2546623318
241	0.785633436	0.2546090244
242	0.7856519141	0.2545434163
243	0.7856699901	0.2544769977
244	0.7862186394	0.2543656266
245	0.7858798868	0.2542932883
246	0.7859334386	0.2542248791
247	0.7859535995	0.2541476224
248	0.786168155	0.2540809138
249	0.7863850239	0.2539959588
250	0.7863064444	0.2539137141
251	0.7865247832	0.2538439464
252	0.7864498079	0.2537718803
253	0.7867284816	0.2537010864
254	0.7868765094	0.2536398445
255	0.7865051052	0.2535704183
256	0.7865567004	0.2535057532
257	0.7868317854	0.2534497206
258	0.7869833681	0.2533642816
259	0.7868732471	0.2532957593
260	0.786955021	0.253229697
261	0.7869047525	0.2531753312
262	0.7869216577	0.2531119691
263	0.7869401146	0.2530354558
264	0.7870566448	0.2529764841
265	0.7870141377	0.252899364
266	0.7870977144	0.2528390817
267	0.7873746769	0.2527749857
268	0.7874244566	0.2527154799
269	0.7877663005	0.2526605983
270	0.7875884487	0.2525914295
271	0.7875669793	0.2525416044
272	0.787647928	0.2524827604
273	0.7878588962	0.2524248994
274	0.7876826849	0.2523649314
275	0.7877324392	0.252304565
